EXPSAMPLE_ACCESSION	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	WORKSPACE_ID
ES1066655	B-Mem	EXP14918		FCM	Parsed	5300
ES1066656	B-trans	EXP14918		FCM	Parsed	5300
ES1066657	T-cell	EXP14918		FCM	Parsed	5300
ES1066658	B-Mem	EXP14918		FCM	Parsed	5300
ES1066659	B-trans	EXP14918		FCM	Parsed	5300
ES1066660	T-cell	EXP14918		FCM	Parsed	5300
ES1066661	B-Mem	EXP14918		FCM	Parsed	5300
ES1066662	B-trans	EXP14918		FCM	Parsed	5300
ES1066663	T-cell	EXP14918		FCM	Parsed	5300
ES1066664	B-Mem	EXP14918		FCM	Parsed	5300
ES1066665	B-trans	EXP14918		FCM	Parsed	5300
ES1066666	T-cell	EXP14918		FCM	Parsed	5300
ES1066667	B-Mem	EXP14918		FCM	Parsed	5300
ES1066668	B-trans	EXP14918		FCM	Parsed	5300
ES1066669	T-cell	EXP14918		FCM	Parsed	5300
ES1066670	B-Mem	EXP14918		FCM	Parsed	5300
ES1066671	B-trans	EXP14918		FCM	Parsed	5300
ES1066672	T-cell	EXP14918		FCM	Parsed	5300
ES1066673	B-Mem	EXP14918		FCM	Parsed	5300
ES1066674	B-trans	EXP14918		FCM	Parsed	5300
ES1066675	T-cell	EXP14918		FCM	Parsed	5300
ES1066676	B-Mem	EXP14918		FCM	Parsed	5300
ES1066677	B-trans	EXP14918		FCM	Parsed	5300
ES1066678	T-cell	EXP14918		FCM	Parsed	5300
ES1066679	B-Mem	EXP14918		FCM	Parsed	5300
ES1066680	B-trans	EXP14918		FCM	Parsed	5300
ES1066681	T-cell	EXP14918		FCM	Parsed	5300
ES1066682	B-Mem	EXP14918		FCM	Parsed	5300
ES1066683	B-trans	EXP14918		FCM	Parsed	5300
ES1066684	T-cell	EXP14918		FCM	Parsed	5300
ES1066685	B-Mem	EXP14918		FCM	Parsed	5300
ES1066686	B-trans	EXP14918		FCM	Parsed	5300
ES1066687	T-cell	EXP14918		FCM	Parsed	5300
ES1066688	B-Mem	EXP14918		FCM	Parsed	5300
ES1066689	B-trans	EXP14918		FCM	Parsed	5300
ES1066690	T-cell	EXP14918		FCM	Parsed	5300
ES1066691	B-Mem	EXP14918		FCM	Parsed	5300
ES1066692	B-trans	EXP14918		FCM	Parsed	5300
ES1066693	T-cell	EXP14918		FCM	Parsed	5300
ES1066694	B-Mem	EXP14918		FCM	Parsed	5300
ES1066695	B-trans	EXP14918		FCM	Parsed	5300
ES1066696	T-cell	EXP14918		FCM	Parsed	5300
ES1066697	B-Mem	EXP14918		FCM	Parsed	5300
ES1066698	B-trans	EXP14918		FCM	Parsed	5300
ES1066699	T-cell	EXP14918		FCM	Parsed	5300
ES1066700	B-Mem	EXP14918		FCM	Parsed	5300
ES1066701	B-trans	EXP14918		FCM	Parsed	5300
ES1066702	T-cell	EXP14918		FCM	Parsed	5300
ES1066703	B-Mem	EXP14918		FCM	Parsed	5300
ES1066704	B-trans	EXP14918		FCM	Parsed	5300
ES1066705	T-cell	EXP14918		FCM	Parsed	5300
ES1066706	B-Mem	EXP14918		FCM	Parsed	5300
ES1066707	B-trans	EXP14918		FCM	Parsed	5300
ES1066708	T-cell	EXP14918		FCM	Parsed	5300
ES1066709	B-Mem	EXP14918		FCM	Parsed	5300
ES1066710	B-trans	EXP14918		FCM	Parsed	5300
ES1066711	T-cell	EXP14918		FCM	Parsed	5300
ES1066712	B-Mem	EXP14918		FCM	Parsed	5300
ES1066713	B-trans	EXP14918		FCM	Parsed	5300
ES1066714	T-cell	EXP14918		FCM	Parsed	5300
ES1066715	B-Mem	EXP14918		FCM	Parsed	5300
ES1066716	B-trans	EXP14918		FCM	Parsed	5300
ES1066717	T-cell	EXP14918		FCM	Parsed	5300
ES1066718	B-Mem	EXP14918		FCM	Parsed	5300
ES1066719	B-trans	EXP14918		FCM	Parsed	5300
ES1066720	T-cell	EXP14918		FCM	Parsed	5300
ES1066721	B-Mem	EXP14918		FCM	Parsed	5300
ES1066722	T-cell	EXP14918		FCM	Parsed	5300
ES1066723	B-Mem	EXP14918		FCM	Parsed	5300
ES1066724	B-trans	EXP14918		FCM	Parsed	5300
ES1066725	T-cell	EXP14918		FCM	Parsed	5300
ES1066726	B-Mem	EXP14918		OTHER	Not_Parsed	5300
ES1066727	B-trans	EXP14918		OTHER	Not_Parsed	5300
ES1066728	T-cell	EXP14918		FCM	Parsed	5300
ES1066729	B-Mem	EXP14918		OTHER	Not_Parsed	5300
ES1066730	B-trans	EXP14918		OTHER	Not_Parsed	5300
ES1066731	T-cell	EXP14918		FCM	Parsed	5300
ES1066732	B-Mem	EXP14918		OTHER	Not_Parsed	5300
ES1066733	B-trans	EXP14918		OTHER	Not_Parsed	5300
ES1066734	T-cell	EXP14918		FCM	Parsed	5300
ES1066735	B-Mem	EXP14918		OTHER	Not_Parsed	5300
ES1066736	B-trans	EXP14918		OTHER	Not_Parsed	5300
ES1066737	T-cell	EXP14918		FCM	Parsed	5300
ES1066738	B-Mem	EXP14918		OTHER	Not_Parsed	5300
ES1066739	B-trans	EXP14918		OTHER	Not_Parsed	5300
ES1066740	T-cell	EXP14918		FCM	Parsed	5300
ES1066741	B-Mem	EXP14918		FCM	Parsed	5300
ES1066742	B-trans	EXP14918		FCM	Parsed	5300
ES1066743	T-cell	EXP14918		FCM	Parsed	5300
ES1066744	B-Mem	EXP14918		FCM	Parsed	5300
ES1066745	B-trans	EXP14918		FCM	Parsed	5300
ES1066746	T-cell	EXP14918		FCM	Parsed	5300
ES1066747	B-Mem	EXP14918		FCM	Parsed	5300
ES1066748	B-trans	EXP14918		FCM	Parsed	5300
ES1066749	T-cell	EXP14918		FCM	Parsed	5300
ES1066750	B-Mem	EXP14918		FCM	Parsed	5300
ES1066751	B-trans	EXP14918		FCM	Parsed	5300
ES1066752	T-cell	EXP14918		FCM	Parsed	5300
ES1066753	B-Mem	EXP14918		FCM	Parsed	5300
ES1066754	B-trans	EXP14918		FCM	Parsed	5300
ES1066755	T-cell	EXP14918		FCM	Parsed	5300
ES1066756	B-Mem	EXP14918		FCM	Parsed	5300
ES1066757	B-trans	EXP14918		FCM	Parsed	5300
ES1066758	T-cell	EXP14918		FCM	Parsed	5300
ES1066759	B-Mem	EXP14918		FCM	Parsed	5300
ES1066760	B-trans	EXP14918		FCM	Parsed	5300
ES1066761	T-cell	EXP14918		FCM	Parsed	5300
ES1066762	B-Mem	EXP14918		FCM	Parsed	5300
ES1066763	B-trans	EXP14918		FCM	Parsed	5300
ES1066764	T-cell	EXP14918		FCM	Parsed	5300
ES1066765	B-Mem	EXP14918		FCM	Parsed	5300
ES1066766	B-trans	EXP14918		FCM	Parsed	5300
ES1066767	T-cell	EXP14918		FCM	Parsed	5300
ES1066768	B-Mem	EXP14918		FCM	Parsed	5300
ES1066769	T-cell	EXP14918		FCM	Parsed	5300
