BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS913316	ES1066655
BS913316	ES1066656
BS913316	ES1066657
BS913430	ES1066658
BS913430	ES1066659
BS913430	ES1066660
BS913117	ES1066661
BS913117	ES1066662
BS913117	ES1066663
BS913318	ES1066664
BS913318	ES1066665
BS913318	ES1066666
BS913431	ES1066667
BS913431	ES1066668
BS913431	ES1066669
BS913120	ES1066670
BS913120	ES1066671
BS913120	ES1066672
BS913320	ES1066673
BS913320	ES1066674
BS913320	ES1066675
BS913123	ES1066676
BS913123	ES1066677
BS913123	ES1066678
BS913322	ES1066679
BS913322	ES1066680
BS913322	ES1066681
BS913433	ES1066682
BS913433	ES1066683
BS913433	ES1066684
BS913126	ES1066685
BS913126	ES1066686
BS913126	ES1066687
BS913817	ES1066688
BS913817	ES1066689
BS913817	ES1066690
BS913434	ES1066691
BS913434	ES1066692
BS913434	ES1066693
BS913325	ES1066694
BS913325	ES1066695
BS913325	ES1066696
BS913435	ES1066697
BS913435	ES1066698
BS913435	ES1066699
BS913436	ES1066700
BS913436	ES1066701
BS913436	ES1066702
BS913327	ES1066703
BS913327	ES1066704
BS913327	ES1066705
BS913437	ES1066706
BS913437	ES1066707
BS913437	ES1066708
BS913329	ES1066709
BS913329	ES1066710
BS913329	ES1066711
BS913438	ES1066712
BS913438	ES1066713
BS913438	ES1066714
BS913136	ES1066715
BS913136	ES1066716
BS913136	ES1066717
BS913331	ES1066718
BS913331	ES1066719
BS913331	ES1066720
BS913439	ES1066721
BS913439	ES1066722
BS913139	ES1066723
BS913139	ES1066724
BS913139	ES1066725
BS913333	ES1066726
BS913333	ES1066727
BS913333	ES1066728
BS913440	ES1066729
BS913440	ES1066730
BS913440	ES1066731
BS913142	ES1066732
BS913142	ES1066733
BS913142	ES1066734
BS913335	ES1066735
BS913335	ES1066736
BS913335	ES1066737
BS913441	ES1066738
BS913441	ES1066739
BS913441	ES1066740
BS913145	ES1066741
BS913145	ES1066742
BS913145	ES1066743
BS913337	ES1066744
BS913337	ES1066745
BS913337	ES1066746
BS913442	ES1066747
BS913442	ES1066748
BS913442	ES1066749
BS913148	ES1066750
BS913148	ES1066751
BS913148	ES1066752
BS913339	ES1066753
BS913339	ES1066754
BS913339	ES1066755
BS913443	ES1066756
BS913443	ES1066757
BS913443	ES1066758
BS913151	ES1066759
BS913151	ES1066760
BS913151	ES1066761
BS913341	ES1066762
BS913341	ES1066763
BS913341	ES1066764
BS913444	ES1066765
BS913444	ES1066766
BS913444	ES1066767
BS913154	ES1066768
BS913154	ES1066769
BS913343	ES1066770
BS913343	ES1066771
BS913343	ES1066772
BS913157	ES1066773
BS913157	ES1066774
BS913157	ES1066775
BS913159	ES1066776
BS913159	ES1066777
BS913159	ES1066778
BS913818	ES1066779
BS913818	ES1066780
BS913818	ES1066781
BS913162	ES1066782
BS913162	ES1066783
BS913162	ES1066784
BS913164	ES1066785
BS913164	ES1066786
BS913819	ES1066787
BS913819	ES1066788
BS913819	ES1066789
BS913445	ES1066790
BS913445	ES1066791
BS913445	ES1066792
BS913167	ES1066793
BS913167	ES1066794
BS913167	ES1066795
BS913347	ES1066796
BS913347	ES1066797
BS913347	ES1066798
BS913446	ES1066799
BS913446	ES1066800
BS913446	ES1066801
BS913171	ES1066802
BS913171	ES1066803
BS913171	ES1066804
BS913349	ES1066805
BS913349	ES1066806
BS913349	ES1066807
BS913447	ES1066808
BS913447	ES1066809
BS913447	ES1066810
BS913174	ES1066811
BS913174	ES1066812
BS913174	ES1066813
BS913351	ES1066814
BS913351	ES1066815
BS913351	ES1066816
BS913448	ES1066817
BS913448	ES1066818
BS913448	ES1066819
BS913176	ES1066820
BS913176	ES1066821
BS913176	ES1066822
BS913353	ES1066823
BS913353	ES1066824
BS913353	ES1066825
BS913179	ES1066826
BS913179	ES1066827
BS913179	ES1066828
BS913355	ES1066829
BS913355	ES1066830
BS913355	ES1066831
BS913450	ES1066832
BS913450	ES1066833
BS913450	ES1066834
BS913182	ES1066835
BS913182	ES1066836
BS913182	ES1066837
BS913357	ES1066838
BS913357	ES1066839
BS913357	ES1066840
BS913451	ES1066841
BS913451	ES1066842
BS913451	ES1066843
BS913185	ES1066844
BS913185	ES1066845
BS913185	ES1066846
BS913362	ES1066847
BS913362	ES1066848
BS913362	ES1066849
BS913189	ES1066850
BS913189	ES1066851
BS913189	ES1066852
BS913192	ES1066853
BS913192	ES1066854
BS913192	ES1066855
BS913364	ES1066856
BS913364	ES1066857
BS913364	ES1066858
BS913195	ES1066859
BS913195	ES1066860
BS913195	ES1066861
BS913198	ES1066862
BS913198	ES1066863
BS913198	ES1066864
BS913366	ES1066865
BS913366	ES1066866
BS913366	ES1066867
BS913201	ES1066868
BS913201	ES1066869
BS913201	ES1066870
BS913204	ES1066871
BS913204	ES1066872
BS913204	ES1066873
BS913368	ES1066874
BS913368	ES1066875
BS913368	ES1066876
BS913207	ES1066877
BS913207	ES1066878
BS913207	ES1066879
BS913210	ES1066880
BS913210	ES1066881
BS913210	ES1066882
BS913370	ES1066883
BS913370	ES1066884
BS913370	ES1066885
BS913370	ES1066886
BS913213	ES1066887
BS913213	ES1066888
BS913213	ES1066889
BS913213	ES1066890
BS913216	ES1066891
BS913216	ES1066892
BS913216	ES1066893
BS913216	ES1066894
BS913372	ES1066895
BS913372	ES1066896
BS913372	ES1066897
BS913219	ES1066898
BS913219	ES1066899
BS913219	ES1066900
BS913222	ES1066901
BS913222	ES1066902
BS913222	ES1066903
BS913374	ES1066904
BS913374	ES1066905
BS913374	ES1066906
BS913225	ES1066907
BS913225	ES1066908
BS913225	ES1066909
BS913228	ES1066910
BS913228	ES1066911
BS913228	ES1066912
BS913376	ES1066913
BS913376	ES1066914
BS913376	ES1066915
BS913376	ES1066916
BS913231	ES1066917
BS913231	ES1066918
BS913231	ES1066919
BS913231	ES1066920
BS913234	ES1066921
BS913234	ES1066922
BS913234	ES1066923
BS913234	ES1066924
BS913378	ES1066925
BS913378	ES1066926
BS913378	ES1066927
BS913456	ES1066928
BS913456	ES1066929
BS913456	ES1066930
BS913238	ES1066931
BS913238	ES1066932
BS913238	ES1066933
BS913380	ES1066934
BS913380	ES1066935
BS913380	ES1066936
BS913457	ES1066937
BS913457	ES1066938
BS913457	ES1066939
BS913241	ES1066940
BS913241	ES1066941
BS913241	ES1066942
BS913382	ES1066943
BS913382	ES1066944
BS913382	ES1066945
BS913459	ES1066946
BS913459	ES1066947
BS913459	ES1066948
BS913244	ES1066949
BS913244	ES1066950
BS913244	ES1066951
BS913384	ES1066952
BS913384	ES1066953
BS913384	ES1066954
BS913461	ES1066955
BS913461	ES1066956
BS913461	ES1066957
BS913247	ES1066958
BS913247	ES1066959
BS913247	ES1066960
BS913386	ES1066961
BS913386	ES1066962
BS913386	ES1066963
BS913462	ES1066964
BS913462	ES1066965
BS913462	ES1066966
BS913250	ES1066967
BS913250	ES1066968
BS913250	ES1066969
BS913388	ES1066970
BS913388	ES1066971
BS913388	ES1066972
BS913388	ES1066973
BS913463	ES1066974
BS913463	ES1066975
BS913463	ES1066976
BS913463	ES1066977
BS913253	ES1066978
BS913253	ES1066979
BS913253	ES1066980
BS913253	ES1066981
BS913390	ES1066982
BS913390	ES1066983
BS913390	ES1066984
BS913390	ES1066985
BS913464	ES1066986
BS913464	ES1066987
BS913464	ES1066988
BS913464	ES1066989
BS936070	ES1066990
BS936070	ES1066991
BS936070	ES1066992
BS936070	ES1066993
BS913820	ES1066994
BS913820	ES1066995
BS913465	ES1066996
BS913465	ES1066997
BS913465	ES1066998
BS913465	ES1066999
BS913259	ES1067000
BS913259	ES1067001
BS913259	ES1067002
BS913259	ES1067003
BS913393	ES1067004
BS913393	ES1067005
BS913393	ES1067006
BS913393	ES1067007
BS913466	ES1067008
BS913466	ES1067009
BS913466	ES1067010
BS913466	ES1067011
BS913262	ES1067012
BS913262	ES1067013
BS913262	ES1067014
BS913262	ES1067015
BS913395	ES1067016
BS913395	ES1067017
BS913395	ES1067018
BS913395	ES1067019
BS913468	ES1067020
BS913468	ES1067021
BS913468	ES1067022
BS913468	ES1067023
BS913265	ES1067024
BS913265	ES1067025
BS913265	ES1067026
BS913265	ES1067027
BS913397	ES1067028
BS913397	ES1067029
BS913397	ES1067030
BS913397	ES1067031
BS913470	ES1067032
BS913470	ES1067033
