EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES1066655	613889	FCM
ES1066655	613890	FCM
ES1066655	613891	FCM
ES1066655	613892	FCM
ES1066655	613893	FCM
ES1066655	613894	FCM
ES1066655	613895	FCM
ES1066655	613896	FCM
ES1066655	613897	FCM
ES1066655	613898	FCM
ES1066655	613899	FCM
ES1066655	613900	FCM
ES1066655	613901	FCM
ES1066655	614555	FCM
ES1066656	613890	FCM
ES1066656	613891	FCM
ES1066656	613892	FCM
ES1066656	613893	FCM
ES1066656	613894	FCM
ES1066656	613895	FCM
ES1066656	613896	FCM
ES1066656	613897	FCM
ES1066656	613898	FCM
ES1066656	613899	FCM
ES1066656	613900	FCM
ES1066656	613901	FCM
ES1066656	613902	FCM
ES1066656	613903	FCM
ES1066656	614593	FCM
ES1066657	613896	FCM
ES1066657	613897	FCM
ES1066657	613898	FCM
ES1066657	613904	FCM
ES1066657	613905	FCM
ES1066657	613906	FCM
ES1066657	613907	FCM
ES1066657	613908	FCM
ES1066657	613909	FCM
ES1066657	613910	FCM
ES1066657	613911	FCM
ES1066657	613912	FCM
ES1066657	613913	FCM
ES1066657	613914	FCM
ES1066657	613915	FCM
ES1066657	613916	FCM
ES1066657	613917	FCM
ES1066657	614594	FCM
ES1066658	613890	FCM
ES1066658	613891	FCM
ES1066658	613892	FCM
ES1066658	613893	FCM
ES1066658	613894	FCM
ES1066658	613895	FCM
ES1066658	613896	FCM
ES1066658	613897	FCM
ES1066658	613898	FCM
ES1066658	613899	FCM
ES1066658	613900	FCM
ES1066658	613901	FCM
ES1066658	613918	FCM
ES1066658	614555	FCM
ES1066659	613890	FCM
ES1066659	613891	FCM
ES1066659	613892	FCM
ES1066659	613893	FCM
ES1066659	613894	FCM
ES1066659	613895	FCM
ES1066659	613896	FCM
ES1066659	613897	FCM
ES1066659	613898	FCM
ES1066659	613899	FCM
ES1066659	613900	FCM
ES1066659	613901	FCM
ES1066659	613903	FCM
ES1066659	613919	FCM
ES1066659	614593	FCM
ES1066660	613896	FCM
ES1066660	613897	FCM
ES1066660	613898	FCM
ES1066660	613905	FCM
ES1066660	613906	FCM
ES1066660	613907	FCM
ES1066660	613908	FCM
ES1066660	613909	FCM
ES1066660	613910	FCM
ES1066660	613911	FCM
ES1066660	613912	FCM
ES1066660	613913	FCM
ES1066660	613914	FCM
ES1066660	613915	FCM
ES1066660	613916	FCM
ES1066660	613917	FCM
ES1066660	613920	FCM
ES1066660	614594	FCM
ES1066661	613890	FCM
ES1066661	613891	FCM
ES1066661	613892	FCM
ES1066661	613893	FCM
ES1066661	613894	FCM
ES1066661	613895	FCM
ES1066661	613896	FCM
ES1066661	613897	FCM
ES1066661	613898	FCM
ES1066661	613899	FCM
ES1066661	613900	FCM
ES1066661	613901	FCM
ES1066661	613921	FCM
ES1066661	614555	FCM
ES1066662	613890	FCM
ES1066662	613891	FCM
ES1066662	613892	FCM
ES1066662	613893	FCM
ES1066662	613894	FCM
ES1066662	613895	FCM
ES1066662	613896	FCM
ES1066662	613897	FCM
ES1066662	613898	FCM
ES1066662	613899	FCM
ES1066662	613900	FCM
ES1066662	613901	FCM
ES1066662	613903	FCM
ES1066662	613922	FCM
ES1066662	614593	FCM
ES1066663	613896	FCM
ES1066663	613897	FCM
ES1066663	613898	FCM
ES1066663	613905	FCM
ES1066663	613906	FCM
ES1066663	613907	FCM
ES1066663	613908	FCM
ES1066663	613909	FCM
ES1066663	613910	FCM
ES1066663	613911	FCM
ES1066663	613912	FCM
ES1066663	613913	FCM
ES1066663	613914	FCM
ES1066663	613915	FCM
ES1066663	613916	FCM
ES1066663	613917	FCM
ES1066663	613923	FCM
ES1066663	614594	FCM
ES1066664	613890	FCM
ES1066664	613891	FCM
ES1066664	613892	FCM
ES1066664	613893	FCM
ES1066664	613894	FCM
ES1066664	613895	FCM
ES1066664	613896	FCM
ES1066664	613897	FCM
ES1066664	613898	FCM
ES1066664	613899	FCM
ES1066664	613900	FCM
ES1066664	613901	FCM
ES1066664	613924	FCM
ES1066664	613925	FCM
ES1066664	614555	FCM
ES1066665	613898	FCM
ES1066665	613926	FCM
ES1066665	613927	FCM
ES1066665	613928	FCM
ES1066665	613929	FCM
ES1066665	613930	FCM
ES1066665	613931	FCM
ES1066665	613932	FCM
ES1066665	613933	FCM
ES1066665	613934	FCM
ES1066665	613935	FCM
ES1066665	613936	FCM
ES1066665	613937	FCM
ES1066665	613938	FCM
ES1066665	614595	FCM
ES1066666	613898	FCM
ES1066666	613936	FCM
ES1066666	613939	FCM
ES1066666	613940	FCM
ES1066666	613941	FCM
ES1066666	613942	FCM
ES1066666	613943	FCM
ES1066666	613944	FCM
ES1066666	613945	FCM
ES1066666	613946	FCM
ES1066666	613947	FCM
ES1066666	613948	FCM
ES1066666	613949	FCM
ES1066666	613950	FCM
ES1066666	613951	FCM
ES1066666	614596	FCM
ES1066667	613890	FCM
ES1066667	613891	FCM
ES1066667	613892	FCM
ES1066667	613893	FCM
ES1066667	613894	FCM
ES1066667	613895	FCM
ES1066667	613896	FCM
ES1066667	613897	FCM
ES1066667	613898	FCM
ES1066667	613899	FCM
ES1066667	613900	FCM
ES1066667	613901	FCM
ES1066667	613925	FCM
ES1066667	613952	FCM
ES1066667	614555	FCM
ES1066668	613898	FCM
ES1066668	613927	FCM
ES1066668	613928	FCM
ES1066668	613929	FCM
ES1066668	613930	FCM
ES1066668	613931	FCM
ES1066668	613932	FCM
ES1066668	613933	FCM
ES1066668	613934	FCM
ES1066668	613935	FCM
ES1066668	613936	FCM
ES1066668	613937	FCM
ES1066668	613938	FCM
ES1066668	613953	FCM
ES1066668	614595	FCM
ES1066669	613898	FCM
ES1066669	613936	FCM
ES1066669	613940	FCM
ES1066669	613941	FCM
ES1066669	613942	FCM
ES1066669	613943	FCM
ES1066669	613944	FCM
ES1066669	613945	FCM
ES1066669	613946	FCM
ES1066669	613947	FCM
ES1066669	613948	FCM
ES1066669	613949	FCM
ES1066669	613950	FCM
ES1066669	613951	FCM
ES1066669	613954	FCM
ES1066669	614596	FCM
ES1066670	613890	FCM
