EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES1066655	ESR18450
ES1066655	ESR18454
ES1066655	ESR18455
ES1066655	ESR18457
ES1066655	ESR18459
ES1066655	ESR18463
ES1066655	ESR18471
ES1066655	ESR18476
ES1066655	ESR18478
ES1066655	ESR18486
ES1066655	ESR18496
ES1066656	ESR18452
ES1066656	ESR18454
ES1066656	ESR18456
ES1066656	ESR18457
ES1066656	ESR18463
ES1066656	ESR18464
ES1066656	ESR18471
ES1066656	ESR18475
ES1066656	ESR18478
ES1066656	ESR18492
ES1066656	ESR18494
ES1066657	ESR18451
ES1066657	ESR18453
ES1066657	ESR18459
ES1066657	ESR18463
ES1066657	ESR18465
ES1066657	ESR18467
ES1066657	ESR18469
ES1066657	ESR18473
ES1066657	ESR18480
ES1066657	ESR18482
ES1066657	ESR18484
ES1066657	ESR18488
ES1066657	ESR18490
ES1066658	ESR18450
ES1066658	ESR18454
ES1066658	ESR18455
ES1066658	ESR18457
ES1066658	ESR18459
ES1066658	ESR18463
ES1066658	ESR18471
ES1066658	ESR18476
ES1066658	ESR18478
ES1066658	ESR18486
ES1066658	ESR18496
ES1066659	ESR18452
ES1066659	ESR18454
ES1066659	ESR18456
ES1066659	ESR18457
ES1066659	ESR18463
ES1066659	ESR18464
ES1066659	ESR18471
ES1066659	ESR18475
ES1066659	ESR18478
ES1066659	ESR18492
ES1066659	ESR18494
ES1066660	ESR18451
ES1066660	ESR18453
ES1066660	ESR18459
ES1066660	ESR18463
ES1066660	ESR18465
ES1066660	ESR18467
ES1066660	ESR18469
ES1066660	ESR18473
ES1066660	ESR18480
ES1066660	ESR18482
ES1066660	ESR18484
ES1066660	ESR18488
ES1066660	ESR18490
ES1066661	ESR18450
ES1066661	ESR18454
ES1066661	ESR18455
ES1066661	ESR18457
ES1066661	ESR18459
ES1066661	ESR18463
ES1066661	ESR18471
ES1066661	ESR18476
ES1066661	ESR18478
ES1066661	ESR18486
ES1066661	ESR18496
ES1066662	ESR18452
ES1066662	ESR18454
ES1066662	ESR18456
ES1066662	ESR18457
ES1066662	ESR18463
ES1066662	ESR18464
ES1066662	ESR18471
ES1066662	ESR18475
ES1066662	ESR18478
ES1066662	ESR18492
ES1066662	ESR18494
ES1066663	ESR18451
ES1066663	ESR18453
ES1066663	ESR18459
ES1066663	ESR18463
ES1066663	ESR18465
ES1066663	ESR18467
ES1066663	ESR18469
ES1066663	ESR18473
ES1066663	ESR18480
ES1066663	ESR18482
ES1066663	ESR18484
ES1066663	ESR18488
ES1066663	ESR18490
ES1066664	ESR18450
ES1066664	ESR18454
ES1066664	ESR18455
ES1066664	ESR18457
ES1066664	ESR18459
ES1066664	ESR18463
ES1066664	ESR18471
ES1066664	ESR18476
ES1066664	ESR18478
ES1066664	ESR18486
ES1066664	ESR18496
ES1066665	ESR18452
ES1066665	ESR18454
ES1066665	ESR18456
ES1066665	ESR18457
ES1066665	ESR18463
ES1066665	ESR18464
ES1066665	ESR18471
ES1066665	ESR18475
ES1066665	ESR18478
ES1066665	ESR18492
ES1066665	ESR18494
ES1066666	ESR18451
ES1066666	ESR18459
ES1066666	ESR18466
ES1066666	ESR18468
ES1066666	ESR18470
ES1066666	ESR18474
ES1066666	ESR18481
ES1066666	ESR18483
ES1066666	ESR18485
ES1066666	ESR18489
ES1066666	ESR18491
ES1066667	ESR18450
ES1066667	ESR18454
ES1066667	ESR18455
ES1066667	ESR18457
ES1066667	ESR18459
ES1066667	ESR18463
ES1066667	ESR18471
ES1066667	ESR18476
ES1066667	ESR18478
ES1066667	ESR18486
ES1066667	ESR18496
ES1066668	ESR18452
ES1066668	ESR18454
ES1066668	ESR18456
ES1066668	ESR18457
ES1066668	ESR18463
ES1066668	ESR18464
ES1066668	ESR18471
ES1066668	ESR18475
ES1066668	ESR18478
ES1066668	ESR18492
ES1066668	ESR18494
ES1066669	ESR18451
ES1066669	ESR18459
ES1066669	ESR18466
ES1066669	ESR18468
ES1066669	ESR18470
ES1066669	ESR18474
ES1066669	ESR18481
ES1066669	ESR18483
ES1066669	ESR18485
ES1066669	ESR18489
ES1066669	ESR18491
ES1066670	ESR18450
ES1066670	ESR18454
ES1066670	ESR18455
ES1066670	ESR18457
ES1066670	ESR18459
ES1066670	ESR18463
ES1066670	ESR18471
ES1066670	ESR18476
ES1066670	ESR18478
ES1066670	ESR18486
ES1066670	ESR18496
ES1066671	ESR18452
ES1066671	ESR18454
ES1066671	ESR18456
ES1066671	ESR18457
ES1066671	ESR18463
ES1066671	ESR18464
ES1066671	ESR18471
ES1066671	ESR18475
ES1066671	ESR18478
ES1066671	ESR18492
ES1066671	ESR18494
ES1066672	ESR18451
ES1066672	ESR18459
ES1066672	ESR18466
ES1066672	ESR18468
ES1066672	ESR18470
ES1066672	ESR18474
ES1066672	ESR18481
ES1066672	ESR18483
ES1066672	ESR18485
ES1066672	ESR18489
ES1066672	ESR18491
ES1066673	ESR18450
ES1066673	ESR18454
ES1066673	ESR18455
ES1066673	ESR18457
ES1066673	ESR18459
ES1066673	ESR18463
ES1066673	ESR18471
ES1066673	ESR18476
ES1066673	ESR18478
ES1066673	ESR18486
ES1066673	ESR18496
ES1066674	ESR18452
ES1066674	ESR18454
ES1066674	ESR18456
ES1066674	ESR18457
ES1066674	ESR18463
ES1066674	ESR18464
ES1066674	ESR18471
ES1066674	ESR18475
ES1066674	ESR18478
ES1066674	ESR18492
ES1066674	ESR18494
ES1066675	ESR18451
ES1066675	ESR18453
ES1066675	ESR18459
ES1066675	ESR18463
ES1066675	ESR18465
ES1066675	ESR18467
ES1066675	ESR18469
ES1066675	ESR18473
ES1066675	ESR18480
ES1066675	ESR18482
ES1066675	ESR18484
ES1066675	ESR18488
ES1066675	ESR18490
ES1066676	ESR18450
ES1066676	ESR18454
ES1066676	ESR18455
ES1066676	ESR18457
ES1066676	ESR18459
ES1066676	ESR18463
ES1066676	ESR18471
ES1066676	ESR18476
ES1066676	ESR18478
ES1066676	ESR18486
ES1066676	ESR18496
ES1066677	ESR18452
ES1066677	ESR18454
ES1066677	ESR18456
ES1066677	ESR18457
ES1066677	ESR18463
ES1066677	ESR18464
ES1066677	ESR18471
ES1066677	ESR18475
ES1066677	ESR18478
ES1066677	ESR18492
ES1066677	ESR18494
ES1066678	ESR18451
ES1066678	ESR18453
ES1066678	ESR18459
ES1066678	ESR18463
ES1066678	ESR18465
ES1066678	ESR18467
ES1066678	ESR18469
ES1066678	ESR18473
ES1066678	ESR18480
ES1066678	ESR18482
ES1066678	ESR18484
ES1066678	ESR18488
ES1066678	ESR18490
ES1066679	ESR18450
ES1066679	ESR18454
ES1066679	ESR18455
ES1066679	ESR18457
ES1066679	ESR18459
ES1066679	ESR18463
ES1066679	ESR18471
ES1066679	ESR18476
ES1066679	ESR18478
ES1066679	ESR18486
ES1066679	ESR18496
ES1066680	ESR18452
ES1066680	ESR18454
ES1066680	ESR18456
ES1066680	ESR18457
ES1066680	ESR18463
ES1066680	ESR18464
ES1066680	ESR18471
ES1066680	ESR18475
