EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES1066655	TRT2662
ES1066656	TRT2662
ES1066657	TRT2662
ES1066658	TRT2662
ES1066659	TRT2662
ES1066660	TRT2662
ES1066661	TRT2662
ES1066662	TRT2662
ES1066663	TRT2662
ES1066664	TRT2662
ES1066665	TRT2662
ES1066666	TRT2662
ES1066667	TRT2662
ES1066668	TRT2662
ES1066669	TRT2662
ES1066670	TRT2662
ES1066671	TRT2662
ES1066672	TRT2662
ES1066673	TRT2662
ES1066674	TRT2662
ES1066675	TRT2662
ES1066676	TRT2662
ES1066677	TRT2662
ES1066678	TRT2662
ES1066679	TRT2662
ES1066680	TRT2662
ES1066681	TRT2662
ES1066682	TRT2662
ES1066683	TRT2662
ES1066684	TRT2662
ES1066685	TRT2662
ES1066686	TRT2662
ES1066687	TRT2662
ES1066688	TRT2662
ES1066689	TRT2662
ES1066690	TRT2662
ES1066691	TRT2662
ES1066692	TRT2662
ES1066693	TRT2662
ES1066694	TRT2662
ES1066695	TRT2662
ES1066696	TRT2662
ES1066697	TRT2662
ES1066698	TRT2662
ES1066699	TRT2662
ES1066700	TRT2662
ES1066701	TRT2662
ES1066702	TRT2662
ES1066703	TRT2662
ES1066704	TRT2662
ES1066705	TRT2662
ES1066706	TRT2662
ES1066707	TRT2662
ES1066708	TRT2662
ES1066709	TRT2662
ES1066710	TRT2662
ES1066711	TRT2662
ES1066712	TRT2662
ES1066713	TRT2662
ES1066714	TRT2662
ES1066715	TRT2662
ES1066716	TRT2662
ES1066717	TRT2662
ES1066718	TRT2662
ES1066719	TRT2662
ES1066720	TRT2662
ES1066721	TRT2662
ES1066722	TRT2662
ES1066723	TRT2662
ES1066724	TRT2662
ES1066725	TRT2662
ES1066726	TRT2662
ES1066727	TRT2662
ES1066728	TRT2662
ES1066729	TRT2662
ES1066730	TRT2662
ES1066731	TRT2662
ES1066732	TRT2662
ES1066733	TRT2662
ES1066734	TRT2662
ES1066735	TRT2662
ES1066736	TRT2662
ES1066737	TRT2662
ES1066738	TRT2662
ES1066739	TRT2662
ES1066740	TRT2662
ES1066741	TRT2662
ES1066742	TRT2662
ES1066743	TRT2662
ES1066744	TRT2662
ES1066745	TRT2662
ES1066746	TRT2662
ES1066747	TRT2662
ES1066748	TRT2662
ES1066749	TRT2662
ES1066750	TRT2662
ES1066751	TRT2662
ES1066752	TRT2662
ES1066753	TRT2662
ES1066754	TRT2662
ES1066755	TRT2662
ES1066756	TRT2662
ES1066757	TRT2662
ES1066758	TRT2662
ES1066759	TRT2662
ES1066760	TRT2662
ES1066761	TRT2662
ES1066762	TRT2662
ES1066763	TRT2662
ES1066764	TRT2662
ES1066765	TRT2662
ES1066766	TRT2662
ES1066767	TRT2662
ES1066768	TRT2662
ES1066769	TRT2662
ES1066770	TRT2662
ES1066771	TRT2662
ES1066772	TRT2662
ES1066773	TRT2662
ES1066774	TRT2662
ES1066775	TRT2662
ES1066776	TRT2662
ES1066777	TRT2662
ES1066778	TRT2662
ES1066779	TRT2662
ES1066780	TRT2662
ES1066781	TRT2662
ES1066782	TRT2662
ES1066783	TRT2662
ES1066784	TRT2662
ES1066785	TRT2662
ES1066786	TRT2662
ES1066787	TRT2662
ES1066788	TRT2662
ES1066789	TRT2662
ES1066790	TRT2662
ES1066791	TRT2662
ES1066792	TRT2662
ES1066793	TRT2662
ES1066794	TRT2662
ES1066795	TRT2662
ES1066796	TRT2662
ES1066797	TRT2662
ES1066798	TRT2662
ES1066799	TRT2662
ES1066800	TRT2662
ES1066801	TRT2662
ES1066802	TRT2662
ES1066803	TRT2662
ES1066804	TRT2662
ES1066805	TRT2662
ES1066806	TRT2662
ES1066807	TRT2662
ES1066808	TRT2662
ES1066809	TRT2662
ES1066810	TRT2662
ES1066811	TRT2662
ES1066812	TRT2662
ES1066813	TRT2662
ES1066814	TRT2662
ES1066815	TRT2662
ES1066816	TRT2662
ES1066817	TRT2662
ES1066818	TRT2662
ES1066819	TRT2662
ES1066820	TRT2662
ES1066821	TRT2662
ES1066822	TRT2662
ES1066823	TRT2662
ES1066824	TRT2662
ES1066825	TRT2662
ES1066826	TRT2662
ES1066827	TRT2662
ES1066828	TRT2662
ES1066829	TRT2662
ES1066830	TRT2662
ES1066831	TRT2662
ES1066832	TRT2662
ES1066833	TRT2662
ES1066834	TRT2662
ES1066835	TRT2662
ES1066836	TRT2662
ES1066837	TRT2662
ES1066838	TRT2662
ES1066839	TRT2662
ES1066840	TRT2662
ES1066841	TRT2662
ES1066842	TRT2662
ES1066843	TRT2662
ES1066844	TRT2662
ES1066845	TRT2662
ES1066846	TRT2662
ES1066847	TRT2662
ES1066848	TRT2662
ES1066849	TRT2662
ES1066850	TRT2662
ES1066851	TRT2662
ES1066852	TRT2662
ES1066853	TRT2662
ES1066854	TRT2662
ES1066855	TRT2662
ES1066856	TRT2662
ES1066857	TRT2662
ES1066858	TRT2662
ES1066859	TRT2662
ES1066860	TRT2662
ES1066861	TRT2662
ES1066862	TRT2662
ES1066863	TRT2662
ES1066864	TRT2662
ES1066865	TRT2662
ES1066866	TRT2662
ES1066867	TRT2662
ES1066868	TRT2662
ES1066869	TRT2662
ES1066870	TRT2662
ES1066871	TRT2662
ES1066872	TRT2662
ES1066873	TRT2662
ES1066874	TRT2662
ES1066875	TRT2662
ES1066876	TRT2662
ES1066877	TRT2662
ES1066878	TRT2662
ES1066879	TRT2662
ES1066880	TRT2662
ES1066881	TRT2662
ES1066882	TRT2662
ES1066883	TRT2662
ES1066884	TRT2662
ES1066885	TRT2662
ES1066886	TRT2662
ES1066887	TRT2662
ES1066888	TRT2662
ES1066889	TRT2662
ES1066890	TRT2662
ES1066891	TRT2662
ES1066892	TRT2662
ES1066893	TRT2662
ES1066894	TRT2662
ES1066895	TRT2662
ES1066896	TRT2662
ES1066897	TRT2662
ES1066898	TRT2662
ES1066899	TRT2662
ES1066900	TRT2662
ES1066901	TRT2662
ES1066902	TRT2662
ES1066903	TRT2662
ES1066904	TRT2662
ES1066905	TRT2662
ES1066906	TRT2662
ES1066907	TRT2662
ES1066908	TRT2662
ES1066909	TRT2662
ES1066910	TRT2662
ES1066911	TRT2662
ES1066912	TRT2662
ES1066913	TRT2662
ES1066914	TRT2662
ES1066915	TRT2662
ES1066916	TRT2662
ES1066917	TRT2662
ES1066918	TRT2662
ES1066919	TRT2662
ES1066920	TRT2662
ES1066921	TRT2662
ES1066922	TRT2662
ES1066923	TRT2662
ES1066924	TRT2662
ES1066925	TRT2662
ES1066926	TRT2662
ES1066927	TRT2662
ES1066928	TRT2662
ES1066929	TRT2662
ES1066930	TRT2662
ES1066931	TRT2662
ES1066932	TRT2662
ES1066933	TRT2662
ES1066934	TRT2662
ES1066935	TRT2662
ES1066936	TRT2662
ES1066937	TRT2662
ES1066938	TRT2662
ES1066939	TRT2662
ES1066940	TRT2662
ES1066941	TRT2662
ES1066942	TRT2662
ES1066943	TRT2662
ES1066944	TRT2662
ES1066945	TRT2662
ES1066946	TRT2662
ES1066947	TRT2662
ES1066948	TRT2662
ES1066949	TRT2662
ES1066950	TRT2662
ES1066951	TRT2662
ES1066952	TRT2662
ES1066953	TRT2662
ES1066954	TRT2662
ES1066955	TRT2662
ES1066956	TRT2662
ES1066957	TRT2662
ES1066958	TRT2662
ES1066959	TRT2662
ES1066960	TRT2662
ES1066961	TRT2662
ES1066962	TRT2662
ES1066963	TRT2662
ES1066964	TRT2662
ES1066965	TRT2662
ES1066966	TRT2662
ES1066967	TRT2662
ES1066968	TRT2662
ES1066969	TRT2662
ES1066970	TRT2662
ES1066971	TRT2662
ES1066972	TRT2662
ES1066973	TRT2662
ES1066974	TRT2662
ES1066975	TRT2662
ES1066976	TRT2662
ES1066977	TRT2662
ES1066978	TRT2662
ES1066979	TRT2662
ES1066980	TRT2662
ES1066981	TRT2662
ES1066982	TRT2662
ES1066983	TRT2662
ES1066984	TRT2662
ES1066985	TRT2662
ES1066986	TRT2662
ES1066987	TRT2662
ES1066988	TRT2662
ES1066989	TRT2662
ES1066990	TRT2662
ES1066991	TRT2662
ES1066992	TRT2662
ES1066993	TRT2662
ES1066994	TRT2662
ES1066995	TRT2662
ES1066996	TRT2662
ES1066997	TRT2662
ES1066998	TRT2662
ES1066999	TRT2662
ES1067000	TRT2662
ES1067001	TRT2662
ES1067002	TRT2662
ES1067003	TRT2662
ES1067004	TRT2662
ES1067005	TRT2662
ES1067006	TRT2662
ES1067007	TRT2662
ES1067008	TRT2662
ES1067009	TRT2662
ES1067010	TRT2662
ES1067011	TRT2662
ES1067012	TRT2662
ES1067013	TRT2662
ES1067014	TRT2662
ES1067015	TRT2662
ES1067016	TRT2662
ES1067017	TRT2662
ES1067018	TRT2662
ES1067019	TRT2662
ES1067020	TRT2662
ES1067021	TRT2662
ES1067022	TRT2662
ES1067023	TRT2662
ES1067024	TRT2662
ES1067025	TRT2662
ES1067026	TRT2662
ES1067027	TRT2662
ES1067028	TRT2662
ES1067029	TRT2662
ES1067030	TRT2662
ES1067031	TRT2662
ES1067032	TRT2662
ES1067033	TRT2662
ES1067034	TRT2662
ES1067035	TRT2662
ES1067036	TRT2662
ES1067037	TRT2662
ES1067038	TRT2662
ES1067039	TRT2662
ES1067040	TRT2662
ES1067041	TRT2662
ES1067042	TRT2662
ES1067043	TRT2662
ES1067044	TRT2662
ES1067045	TRT2662
ES1067046	TRT2662
