FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
2961801	hCD27++	CD27++	ANA40	1034378
2961802	hCD38++	CD38++	ANA808	1034378
2961803	hCD27++	CD27++	ANA40	1034379
2961804	hCD38++	CD38++	ANA808	1034379
2961805	hCD27-	CD27-	ANA40	1034380
2961806	hCD38++	CD38++	ANA808	1034380
2961807	hCD24-	CD24-	ANA807	1034380
2961808	hCD27-	CD27-	ANA40	1034381
2961809	hCD38++	CD38++	ANA808	1034381
2961810	hCD24-	CD24-	ANA807	1034381
2961811	hCD24-	CD24-	ANA807	1034382
2961812	hCD24-	CD24-	ANA807	1034383
2961813	PTPRC/iso:CD45RO+	B220+	ANA822	1034384
2961814	PTPRC/iso:CD45RO+	B220+	ANA822	1034385
2961815	hCR2-	CD21-	ANA919	1034386
2961816	hCR2-	CD21-	ANA919	1034387
2961817	hFAS+	CD95+	ANA85	1034388
2961818	hFAS+	CD95+	ANA85	1034389
2961819	hCXCR3+	CXCR3+	ANA76	1034390
2961820	hCXCR3+	CXCR3+	ANA76	1034391
2961821	hFAS+	CD95+	ANA85	1034392
2961822	hFAS+	CD95+	ANA85	1034393
2961823	PTPRC/iso:CD45RO+	B220+	ANA822	1034394
2961824	PTPRC/iso:CD45RO+	B220+	ANA822	1034395
2961825	hCR2-	CD21-	ANA919	1034396
2961826	hCR2-	CD21-	ANA919	1034397
2961827	hCD24-	CD24-	ANA807	1034398
2961828	hCD24-	CD24-	ANA807	1034399
2961829	hCXCR3+	CXCR3+	ANA76	1034400
2961830	hCXCR3+	CXCR3+	ANA76	1034401
2961831	hCD24-	CD24-	ANA807	1034402
2961832	hCD24-	CD24-	ANA807	1034403
2961833	hFAS+	CD95+	ANA85	1034404
2961834	hFAS+	CD95+	ANA85	1034405
2961835	PTPRC/iso:CD45RO+	B220+	ANA822	1034406
2961836	PTPRC/iso:CD45RO+	B220+	ANA822	1034407
2961837	hCR2-	CD21-	ANA919	1034408
2961838	hCR2-	CD21-	ANA919	1034409
2961839	hCXCR3+	CXCR3+	ANA76	1034410
2961840	hCXCR3+	CXCR3+	ANA76	1034411
2961841	hCR2-	CD21-	ANA919	1034412
2961842	hCR2-	CD21-	ANA919	1034413
2961843	hCD24-	CD24-	ANA807	1034414
2961844	hCD24-	CD24-	ANA807	1034415
2961845	hFAS+	CD95+	ANA85	1034416
2961846	hFAS+	CD95+	ANA85	1034417
2961847	hCXCR3+	CXCR3+	ANA76	1034418
2961848	hCXCR3+	CXCR3+	ANA76	1034419
2961849		95+		1034420
2961850	PTPRC/iso:CD45RO+	B220+	ANA822	1034421
2961851	hCR2-	CD21-	ANA919	1034422
2961852	hCD24-	CD24-	ANA807	1034423
2961853	hCXCR3+	CXCR3+	ANA76	1034424
2961854	hIGHD+	IgD+	ANA813	1034425
2961855	hCD27-	CD27-	ANA40	1034425
2961856	hIGHD+	IgD+	ANA813	1034426
2961857	hCD27+	CD27+	ANA40	1034426
2961858	hIGHD-	IgD-	ANA813	1034427
2961859	hCD27-	CD27-	ANA40	1034427
2961860	hIGHD-	IgD-	ANA813	1034428
2961861	hCD27+	CD27+	ANA40	1034428
2961862		NA		1034429
2961863	PTPRC/iso:CD45RO+	B220+	ANA822	1034430
2961864	PTPRC/iso:CD45RO+	B220+	ANA822	1034431
2961865		NA		1034432
2961866		NA		1034433
2961867	hMME+	CD10+	ANA930	1034434
2961868	hMME+	CD10+	ANA930	1034435
2961869	hMME+	CD10+	ANA930	1034436
2961870	hMME+	CD10+	ANA930	1034437
2961871	hFCER2+	CD23+	ANA922	1034438
2961872	hFCER2+	CD23+	ANA922	1034439
2961873		IGM+		1034440
2961874		IGM+		1034441
2961875	hMME+	CD10+	ANA930	1034442
2961876	hMME+	CD10+	ANA930	1034443
2961877	hFCER2+	CD23+	ANA922	1034444
2961878	hFCER2+	CD23+	ANA922	1034445
2961879		IGM+		1034446
2961880		IGM+		1034447
2961881	hMME+	CD10+	ANA930	1034448
2961882	hMME+	CD10+	ANA930	1034449
2961883	hFCER2+	CD23+	ANA922	1034450
2961884	hFCER2+	CD23+	ANA922	1034451
2961885		IGM+		1034452
2961886		IGM+		1034453
2961887	hFCER2+	CD23+	ANA922	1034454
2961888	hFCER2+	CD23+	ANA922	1034455
2961889		IGM+		1034456
2961890		IGM+		1034457
2961891		T1		1034458
2961892		T1		1034459
2961893		T2		1034460
2961894		T2		1034461
2961895		T3		1034462
2961896		T3		1034463
2961897	hMME+	CD10+	ANA930	1034464
2961898	hMME+	CD10+	ANA930	1034465
2961899		CDIGM+		1034466
2961900		CDIGM+		1034467
2961901		MTG+		1034468
2961902		MTG+		1034469
2961903	hMME+	CD10+	ANA930	1034470
2961904	hMME+	CD10+	ANA930	1034471
2961905	hFCER2+	CD23+	ANA922	1034472
2961906	hFCER2+	CD23+	ANA922	1034473
2961907		IGM+		1034474
2961908		IGM+		1034475
2961909	hMME+	CD10+	ANA930	1034476
2961910	hMME+	CD10+	ANA930	1034477
2961911	hFCER2+	CD23+	ANA922	1034478
2961912	hFCER2+	CD23+	ANA922	1034479
2961913	hFCER2+	CD23+	ANA922	1034480
2961914	hFCER2+	CD23+	ANA922	1034481
2961915		IGM+		1034482
2961916		IGM+		1034483
2961917	hMME+	CD10+	ANA930	1034484
2961918	hMME+	CD10+	ANA930	1034485
2961919	hFCER2+	CD23+	ANA922	1034486
2961920	hFCER2+	CD23+	ANA922	1034487
2961921		IGM+		1034488
2961922		IGM+		1034489
2961923	hMME+	CD10+	ANA930	1034490
2961924	hFCER2+	CD23+	ANA922	1034491
2961925	hIGHD+	IgD+	ANA813	1034492
2961926	hCD27-	CD27-	ANA40	1034492
2961927		MTG-		1034492
2961928	hIGHD+	IgD+	ANA813	1034493
2961929	hCD27-	CD27-	ANA40	1034493
2961930		MTG-		1034493
2961931		IGM+		1034494
2961932	hPTPRC/iso:h6-	CD45RA-	ANA816	1034495
2961933		Memory		1034495
2961934	hPTPRC/iso:h6-	CD45RA-	ANA816	1034496
2961935	hCXCR5-	CXCR5-	ANA78	1034496
2961936	hPTPRC/iso:h6-	CD45RA-	ANA816	1034497
2961937	hCXCR5-	CXCR5-	ANA78	1034497
2961938	hPTPRC/iso:h6-	CD45RA-	ANA816	1034498
2961939	hCXCR5+	CXCR5+	ANA78	1034498
2961940	hPTPRC/iso:h6-	CD45RA-	ANA816	1034499
2961941	hCXCR5+	CXCR5+	ANA78	1034499
2961942	hPTPRC/iso:h6+	CD45RA+ Naive	ANA816	1034500
2961943	hPTPRC/iso:h6-	CD45RA-	ANA816	1034501
2961944	hCCR7-	CCR7-	ANA37	1034501
2961945	hPTPRC/iso:h6-	CD45RA-	ANA816	1034502
2961946	hCCR7-	CCR7-	ANA37	1034502
2961947	hPTPRC/iso:h6-	CD45RA-	ANA816	1034503
2961948	hCCR7+	CCR7+	ANA37	1034503
2961949	hPTPRC/iso:h6-	CD45RA-	ANA816	1034504
2961950	hCCR7+	CCR7+	ANA37	1034504
2961951	hCXCR5+	CXCR5+	ANA78	1034505
2961952	hCD3E+	CD3+	ANA809	1034506
2961953	hCD4+	CD4+	ANA41	1034506
2961954	hCXCR5+	CXCR5+	ANA78	1034507
2961955	hPTPRC/iso:h6-	CD45RA-	ANA816	1034507
2961956	hIL2RA++	CD25++	ANA163	1034508
2961957	hIL7R+-	CD127+-	ANA182	1034508
2961958	hCD27++	CD27++	ANA40	1034509
2961959	hCD38++	CD38++	ANA808	1034509
2961960	hCD27++	CD27++	ANA40	1034510
2961961	hCD38++	CD38++	ANA808	1034510
2961962	hCD27-	CD27-	ANA40	1034511
2961963	hCD38++	CD38++	ANA808	1034511
2961964	hCD24-	CD24-	ANA807	1034511
2961965	hCD27-	CD27-	ANA40	1034512
2961966	hCD38++	CD38++	ANA808	1034512
2961967	hCD24-	CD24-	ANA807	1034512
2961968	hCD24-	CD24-	ANA807	1034513
2961969	hCD24-	CD24-	ANA807	1034514
2961970	PTPRC/iso:CD45RO+	B220+	ANA822	1034515
2961971	PTPRC/iso:CD45RO+	B220+	ANA822	1034516
