FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
235779	1		FSC-A		FSC-A
235779	2		FSC-H		FSC-H
235779	3		FSC-W		FSC-W
235779	4	SSC	SSC-A	SSC	SSC-A
235779	5	SSC	SSC-H	SSC	SSC-H
235779	6	SSC	SSC-W	SSC	SSC-W
235779	7		Red C 660/20-A		95
235779	8		Red A 780/60-A		19
235779	9		Blue F 525/50-A	hIGHD	IgD
235779	10		Blue E 576/26-A	hCXCR3	CXCR3
235779	11		Blue D 610/20-A		24
235779	12		Blue C 660/20-A		21
235779	13		Blue B 710/50-A		38
235779	14		Blue A 780/60-A	PTPRC/iso:CD45RO	B220
235779	15		Violet C 450/50-A		3
235779	16		Violet B 525/50-A		L\D
235779	17		Violet A 610/20-A		27
235779	18		Time		Time
235780	1		FSC-A		FSC-A
235780	2		FSC-H		FSC-H
235780	3		FSC-W		FSC-W
235780	4	SSC	SSC-A	SSC	SSC-A
235780	5	SSC	SSC-H	SSC	SSC-H
235780	6	SSC	SSC-W	SSC	SSC-W
235780	7		Red C 660/20-A		10
235780	8		Red A 780/60-A		19
235780	9		Blue F 525/50-A		MTG
235780	10		Blue E 576/26-A		IGD
235780	11		Blue D 610/20-A		24
235780	12		Blue C 660/20-A		IGM
235780	13		Blue B 710/50-A		38
235780	14		Blue A 780/60-A		23
235780	15		Violet C 450/50-A		3
235780	16		Violet B 525/50-A		L/D
235780	17		Violet A 610/20-A		27
235780	18		Time		Time
235781	1		FSC-A		FSC-A
235781	2	SSC	SSC-A	SSC	SSC-A
235781	3		Blue B 515/20-A		3
235781	4		Blue A 710/50-A		45RA
235781	5		Violet H 450/50-A	hCCR6	CCR6
235781	6		Violet G 550/40-A		L/D
235781	7		Violet D 605/40-A	hPDCD1	PD1
235781	8		Violet C 660/40-A		25
235781	9		Violet A 780/60-A		127
235781	10		Red C 660/20-A	hCCR4	CCR4
235781	11		Red A 780/60-A		4
235781	12		Green E 575/25-A	hCXCR3	CXCR3
235781	13		Green D 610/20-A	hCXCR5	CXCR5
235781	14		Green C 660/40-A	hICOS	ICOS
235781	15		Green A 780/40-A	hCCR7	CCR7
235781	16		Time		Time
235782	1		FSC-A		FSC-A
235782	2		FSC-H		FSC-H
235782	3		FSC-W		FSC-W
235782	4	SSC	SSC-A	SSC	SSC-A
235782	5	SSC	SSC-H	SSC	SSC-H
235782	6	SSC	SSC-W	SSC	SSC-W
235782	7		Red C 660/20-A		95
235782	8		Red A 780/60-A		19
235782	9		Blue F 525/50-A	hIGHD	IgD
235782	10		Blue E 576/26-A	hCXCR3	CXCR3
235782	11		Blue D 610/20-A		24
235782	12		Blue C 660/20-A		21
235782	13		Blue B 710/50-A		38
235782	14		Blue A 780/60-A	PTPRC/iso:CD45RO	B220
235782	15		Violet C 450/50-A		3
235782	16		Violet B 525/50-A		L\D
235782	17		Violet A 610/20-A		27
235782	18		Time		Time
235783	1		FSC-A		FSC-A
235783	2		FSC-H		FSC-H
235783	3		FSC-W		FSC-W
235783	4	SSC	SSC-A	SSC	SSC-A
235783	5	SSC	SSC-H	SSC	SSC-H
235783	6	SSC	SSC-W	SSC	SSC-W
235783	7		Red C 660/20-A		10
235783	8		Red A 780/60-A		19
235783	9		Blue F 525/50-A		MTG
235783	10		Blue E 576/26-A		IGD
235783	11		Blue D 610/20-A		24
235783	12		Blue C 660/20-A		IGM
235783	13		Blue B 710/50-A		38
235783	14		Blue A 780/60-A		23
235783	15		Violet C 450/50-A		3
235783	16		Violet B 525/50-A		L/D
235783	17		Violet A 610/20-A		27
235783	18		Time		Time
235784	1		FSC-A		FSC-A
235784	2	SSC	SSC-A	SSC	SSC-A
235784	3		Blue B 515/20-A		3
235784	4		Blue A 710/50-A		45RA
235784	5		Violet H 450/50-A	hCCR6	CCR6
235784	6		Violet G 550/40-A		L/D
235784	7		Violet D 605/40-A	hPDCD1	PD1
235784	8		Violet C 660/40-A		25
235784	9		Violet A 780/60-A		127
235784	10		Red C 660/20-A	hCCR4	CCR4
235784	11		Red A 780/60-A		4
235784	12		Green E 575/25-A	hCXCR3	CXCR3
235784	13		Green D 610/20-A	hCXCR5	CXCR5
235784	14		Green C 660/40-A	hICOS	ICOS
235784	15		Green A 780/40-A	hCCR7	CCR7
235784	16		Time		Time
235785	1		FSC-A		FSC-A
235785	2		FSC-H		FSC-H
235785	3		FSC-W		FSC-W
235785	4	SSC	SSC-A	SSC	SSC-A
235785	5	SSC	SSC-H	SSC	SSC-H
235785	6	SSC	SSC-W	SSC	SSC-W
235785	7		Red C 660/20-A		95
235785	8		Red A 780/60-A		19
235785	9		Blue F 525/50-A	hIGHD	IgD
235785	10		Blue E 576/26-A	hCXCR3	CXCR3
235785	11		Blue D 610/20-A		24
235785	12		Blue C 660/20-A		21
235785	13		Blue B 710/50-A		38
235785	14		Blue A 780/60-A	PTPRC/iso:CD45RO	B220
235785	15		Violet C 450/50-A		3
235785	16		Violet B 525/50-A		L\D
235785	17		Violet A 610/20-A		27
235785	18		Time		Time
235786	1		FSC-A		FSC-A
235786	2		FSC-H		FSC-H
235786	3		FSC-W		FSC-W
235786	4	SSC	SSC-A	SSC	SSC-A
235786	5	SSC	SSC-H	SSC	SSC-H
235786	6	SSC	SSC-W	SSC	SSC-W
235786	7		Red C 660/20-A		10
235786	8		Red A 780/60-A		19
235786	9		Blue F 525/50-A		MTG
235786	10		Blue E 576/26-A		IGD
235786	11		Blue D 610/20-A		24
235786	12		Blue C 660/20-A		IGM
235786	13		Blue B 710/50-A		38
235786	14		Blue A 780/60-A		23
235786	15		Violet C 450/50-A		3
235786	16		Violet B 525/50-A		L/D
235786	17		Violet A 610/20-A		27
235786	18		Time		Time
235787	1		FSC-A		FSC-A
235787	2	SSC	SSC-A	SSC	SSC-A
235787	3		Blue B 515/20-A		3
235787	4		Blue A 710/50-A		45RA
235787	5		Violet H 450/50-A	hCCR6	CCR6
235787	6		Violet G 550/40-A		L/D
235787	7		Violet D 605/40-A	hPDCD1	PD1
235787	8		Violet C 660/40-A		25
235787	9		Violet A 780/60-A		127
235787	10		Red C 660/20-A	hCCR4	CCR4
235787	11		Red A 780/60-A		4
235787	12		Green E 575/25-A	hCXCR3	CXCR3
