FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
613889	Flow cytometry result	144344415	Specimen_001_052049 DAY 0.613889.fcs	Specimen_001_052049 DAY 0.fcs	5300
613890	Flow cytometry compensation or control	115143	Compensation Controls_Blue A 780,2f,60 Stained Control.613890.fcs	Compensation Controls_Blue A 780,2f,60 Stained Control.fcs	5300
613891	Flow cytometry compensation or control	115145	Compensation Controls_Blue B 710,2f,50 Stained Control.613891.fcs	Compensation Controls_Blue B 710,2f,50 Stained Control.fcs	5300
613892	Flow cytometry compensation or control	115147	Compensation Controls_Blue C 660,2f,20 Stained Control.613892.fcs	Compensation Controls_Blue C 660,2f,20 Stained Control.fcs	5300
613893	Flow cytometry compensation or control	115151	Compensation Controls_Blue D 610,2f,20 Stained Control.613893.fcs	Compensation Controls_Blue D 610,2f,20 Stained Control.fcs	5300
613894	Flow cytometry compensation or control	115150	Compensation Controls_Blue E 576,2f,26 Stained Control.613894.fcs	Compensation Controls_Blue E 576,2f,26 Stained Control.fcs	5300
613895	Flow cytometry compensation or control	115144	Compensation Controls_Blue F 525,2f,50 Stained Control.613895.fcs	Compensation Controls_Blue F 525,2f,50 Stained Control.fcs	5300
613896	Flow cytometry compensation or control	115141	Compensation Controls_Red A 780,2f,60 Stained Control.613896.fcs	Compensation Controls_Red A 780,2f,60 Stained Control.fcs	5300
613897	Flow cytometry compensation or control	115141	Compensation Controls_Red C 660,2f,20 Stained Control.613897.fcs	Compensation Controls_Red C 660,2f,20 Stained Control.fcs	5300
613898	Flow cytometry compensation or control	115116	Compensation Controls_Unstained Control.613898.fcs	Compensation Controls_Unstained Control.fcs	5300
613899	Flow cytometry compensation or control	115146	Compensation Controls_Violet A 610,2f,20 Stained Control.613899.fcs	Compensation Controls_Violet A 610,2f,20 Stained Control.fcs	5300
613900	Flow cytometry compensation or control	115148	Compensation Controls_Violet B 525,2f,50 Stained Control.613900.fcs	Compensation Controls_Violet B 525,2f,50 Stained Control.fcs	5300
613901	Flow cytometry compensation or control	115147	Compensation Controls_Violet C 450,2f,50 Stained Control.613901.fcs	Compensation Controls_Violet C 450,2f,50 Stained Control.fcs	5300
613902	Flow cytometry result	78739052	TRAN_052064 DAY 0.613902.fcs	TRAN_052064 DAY 0.fcs	5300
613903	Flow cytometry compensation or control	66567691	TRAN_33286-4 IC.613903.fcs	TRAN_33286-4 IC.fcs	5300
613904	Flow cytometry result	52854287	TCOMBO_052049 DAY 0.613904.fcs	TCOMBO_052049 DAY 0.fcs	5300
613905	Flow cytometry compensation or control	138170	Compensation Controls_Blue A 710,2f,50 Stained Control.613905.fcs	Compensation Controls_Blue A 710,2f,50 Stained Control.fcs	5300
613906	Flow cytometry compensation or control	101720	Compensation Controls_Blue B 515,2f,20 Stained Control.613906.fcs	Compensation Controls_Blue B 515,2f,20 Stained Control.fcs	5300
613907	Flow cytometry compensation or control	133547	Compensation Controls_Green A 780,2f,40 Stained Control.613907.fcs	Compensation Controls_Green A 780,2f,40 Stained Control.fcs	5300
613908	Flow cytometry compensation or control	100498	Compensation Controls_Green C 660,2f,40 Stained Control.613908.fcs	Compensation Controls_Green C 660,2f,40 Stained Control.fcs	5300
613909	Flow cytometry compensation or control	115121	Compensation Controls_Green D 610,2f,20 Stained Control.613909.fcs	Compensation Controls_Green D 610,2f,20 Stained Control.fcs	5300
613910	Flow cytometry compensation or control	343734	Compensation Controls_Green E 575,2f,25 Stained Control.613910.fcs	Compensation Controls_Green E 575,2f,25 Stained Control.fcs	5300
613911	Flow cytometry compensation or control	118657	Compensation Controls_Violet A 780,2f,60 Stained Control.613911.fcs	Compensation Controls_Violet A 780,2f,60 Stained Control.fcs	5300
613912	Flow cytometry compensation or control	129402	Compensation Controls_Violet C 660,2f,40 Stained Control.613912.fcs	Compensation Controls_Violet C 660,2f,40 Stained Control.fcs	5300
613913	Flow cytometry compensation or control	106418	Compensation Controls_Violet D 605,2f,40 Stained Control.613913.fcs	Compensation Controls_Violet D 605,2f,40 Stained Control.fcs	5300
613914	Flow cytometry compensation or control	298314	Compensation Controls_Violet G 550,2f,40 Stained Control.613914.fcs	Compensation Controls_Violet G 550,2f,40 Stained Control.fcs	5300
613915	Flow cytometry compensation or control	123825	Compensation Controls_Violet H 450,2f,50 Stained Control.613915.fcs	Compensation Controls_Violet H 450,2f,50 Stained Control.fcs	5300
