CRITERION_ACCESSION	CRITERION	CRITERION_CATEGORY	STUDY_ACCESSION	WORKSPACE_ID
CRIT6348	Provide written informed consent	Inclusion	SDY824	5300
CRIT6349	Age of 18 to 75 years	Inclusion	SDY824	5300
CRIT6350	Diagnosis of RA as defined by ACR criteria	Inclusion	SDY824	5300
CRIT6351	Minimum disease duration of 3 months defined from the onset of symptoms	Inclusion	SDY824	5300
CRIT6352	Active RA with DAS28 > 4.4, clinically requiring the addition of anti-TNF therapy	Inclusion	SDY824	5300
CRIT6353	Stable dose of MTX between 7.5 mg and 25 mg (PO or SQ) weekly for at least 8 weeks prior to randomization	Inclusion	SDY824	5300
CRIT6354	Subject must be able and willing to self-administer SQ injections or have available qualified person(s) or caregiver to administer SQ injections	Inclusion	SDY824	5300
CRIT6355	Neutropenia (absolute neutrophil count [ANC] < 1,500/microliter [uL]) at the Screening visit	Exclusion	SDY824	5300
CRIT6356	Thrombocytopenia (platelets < 100,000/uL) at the Screening visit	Exclusion	SDY824	5300
CRIT6357	Anemia (hemoglobin [Hgb] < 9 g/dL) at the Screening visit	Exclusion	SDY824	5300
CRIT6358	Greater than or equal to 2 times the upper limit of normal (ULN) for either of the following liver function tests (LFTs): aspartate transaminase (AST) or alanine transaminase (ALT) at the Screening visit	Exclusion	SDY824	5300
CRIT6359	Renal insufficiency (serum creatinine > 1.5 mg/dL) at the Screening visit	Exclusion	SDY824	5300
CRIT6360	Positive PPD (> 5 mm induration regardless of prior Bacille Calmette Guerin [BCG] vaccine administration) or positive QuantiFERON-TB Gold In-Tube Test (QFT-G_IT) without documentation of completed treatment or evidence of ongoing treatment of latent TB for 30 days. Subjects with active TB infection are excluded	Exclusion	SDY824	5300
CRIT6361	History of positive PPD, positive QuantiFERON-TB Gold In-Tube Test (QFT-G_IT), or chest x-ray findings indicative of prior TB infection, without documentation of either treatment for TB infection or chemoprophylaxis for TB exposure	Exclusion	SDY824	5300
CRIT6362	Prednisone dose > 10 mg/day (or equivalent dose of another corticosteroid) within 4 weeks of randomization	Exclusion	SDY824	5300
CRIT6363	Identified definitive diagnosis of another autoimmune disease that may require immunosuppression for treatment, including but not limited to: systemic lupus erythematosus, scleroderma, primary Sjogren's syndrome, primary vasculitis, psoriasis, multiple sclerosis, ankylosing spondylitis, and inflammatory bowel disease	Exclusion	SDY824	5300
CRIT6364	Concomitant use of DMARDs (PO and/or SQ) including but not limited to doxycycline, minocycline, leflunomide, gold salts, sulfasalazine, and cyclosporine within 4 weeks of randomization	Exclusion	SDY824	5300
CRIT6365	Concomitant use of any immunosuppressive therapy (PO and/or SQ) other than MTX, NSAIDs, or corticosteroids	Exclusion	SDY824	5300
CRIT6366	Current or previous use of any biologic agent	Exclusion	SDY824	5300
CRIT6367	Presence of open leg ulcers	Exclusion	SDY824	5300
CRIT6368	Chronic or persistent infection that might be worsened by immunosuppressive treatment (including but not limited to human immunodeficiency virus [HIV], hepatitis B, hepatitis C, listeriosis, TB, or opportunistic infection)	Exclusion	SDY824	5300
CRIT6369	Active infection or severe infections requiring hospitalization or treatment with IV antibiotics, IV antivirals, or IV antifungals within 30 days prior to randomization, or oral antibiotics, oral antivirals, or oral antifungals within 14 days prior to randomization	Exclusion	SDY824	5300
CRIT6370	Any medical condition, such as uncontrolled diabetes with documented history of recurrent infections, unstable ischemic heart disease, known coronary artery disease or known significant cardiac arrhythmias or severe CHF, recent cerebrovascular accidents, severe, progressive or uncontrolled neurological disease, and any other condition which, in the opinion of the investigator, would put the subject at risk by participation in the protocol	Exclusion	SDY824	5300
CRIT6371	History of malignancy within the past 10 years other than treated localized carcinoma in situ (CIS) of the cervix or adequately treated non-metastatic squamous or basal cell skin carcinoma	Exclusion	SDY824	5300
CRIT6372	Women of childbearing potential who are sexually active and who do not agree to practice contraception during the duration of the study and for 150 days after study completion	Exclusion	SDY824	5300
CRIT6373	Pregnant or breastfeeding	Exclusion	SDY824	5300
CRIT6374	Any investigational agent within the earlier of 4 weeks or 5 half-lives prior to randomization	Exclusion	SDY824	5300
CRIT6375	History of drug or alcohol abuse within 6 months prior to randomization	Exclusion	SDY824	5300
CRIT6376	Known allergy or hypersensitivity to any study products	Exclusion	SDY824	5300
CRIT6377	Any psychiatric disorder that prevents the subject from providing informed consent	Exclusion	SDY824	5300
CRIT6378	Inability or unwillingness to follow the protocol	Exclusion	SDY824	5300
CRIT6379	Any condition or treatment, which in the opinion of the investigator, places the subject at an unacceptable risk as a participant in the trial	Exclusion	SDY824	5300
