NAME	DESCRIPTION	LINK
Assay	Protocol used to assay or measure an experiment sample	
Bio Sample Preparation	Biological Sample Preparation.	
Bio Sample Treatment	Protocol used to prepare Biological Sample.	
Biomaterial Transformation	Protocol used to prepare or modify a biological sample	
Clinical	Clinical	
Data Processing	Data Processing	
Data Transformation	Protocol used to analyze or reformat data	
Experiment	Protocol used in the Experiment.	
Experimental Sample	Protocol used for Experimental Sample.	
Not Specified	Protcol Type is not specified or not received. If no Protocol Type value is received, then this is the system default value.	
Other	Other	
Study Protocol	'Study_Protocol' Study design description.	
Study Summary	'Study_Summary' Study review after a study is closed.	
Subject Organism Treatment	Subject Organism Treatment	
Clinical Trials Operational Procedure Manual	Documentation describing clinical trial-related work processes.	https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=19.11d&code=C115764
Institutional Review Board Independent Ethics Committee Informed Consent Document	Records approved by the Institutional Review Board (IRB)/Independent Ethics Committee (IEC), explaining study information to assist study volunteers in understanding the expectations and requirements of trial participation.	https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=19.11d&code=C115697
Clinical Trial Monitoring Plan	A proposed method to ensure the adequate monitoring of subjects during a clinical trial.	https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=19.11d&code=C115753
Laboratory Sample Manual	Documentation describing work processes and procedures for the collection, handling, and shipping of a sample.	https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=19.11d&code=C115541
Clinical Study Protocol	Clinical Study Protocol	https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&code=C25320
Statistical Analysis Documentation	Statistical Analysis Documentation	https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=17.10e&code=C115732
Case Report Form	Case Report Form	https://ncit.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=17.10e&code=C40988
