REAGENT_ACCESSION	ANALYTE_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR18450	ANA822	CD45RO	B220		552772	RA3-6B2			N		BD Pharmingen	B220	PE-Cy7	Flow Cytometry		5300
ESR18451	ANA37	CCR7	CCR7		557648	3D12			N		BD Pharmingen	CCR7	PE-Cy7	Flow Cytometry		5300
ESR18452	ANA930	CD10	CD10		340923	HI10a			N		BD Pharmingen	CD10	APC	Flow Cytometry		5300
ESR18453	ANA182	CD127	CD127		563324	HIL-7R-M21			N		BD Horizon	CD127	Brillian Violet 786	Flow Cytometry		5300
ESR18454	ANA805	CD19	CD19		557791	SJ25C1			N		BD Pharmingen	CD19	APC/Cy7	Flow Cytometry		5300
ESR18455	ANA919	CD21	CD21		551064	B-ly4			N		BD Pharmingen	CD21	PE-Cy5	Flow Cytometry		5300
ESR18456	ANA922	CD23	CD23		25-0238-42	EBVCS2			N		eBioscience	CD23	PE-Cy7	Flow Cytometry		5300
ESR18457	ANA808	CD38	CD38		HIT2	HIT2			N		BD Pharmingen	CD38	PerCPCy5.5	Flow Cytometry		5300
ESR18458	ANA868	B7-2	B7-2		555657	2331(FUN-1)			N		BD Pharmingen	CD86	FITC	Flow Cytometry		5300
ESR18459	ANA76	CXCR3	CXCR3		550633	1C6/CXCR3			N		BD Pharmingen	CXCR3	PE	Flow Cytometry		5300
ESR18460			IgA		130-099-220	IS11-8E10			N		Miltenyi Biotec	IgA	APC	Flow Cytometry		5300
ESR18461			IgG		561298	G18-145			N		BD Pharmingen	IgG	PE-Cy7	Flow Cytometry		5300
ESR18462	ANA889	Ki67	Ki67		556027	51-36525x			N		BD Pharmingen	Ki67	PE	Flow Cytometry		5300
ESR18463			Live/Dead		L34957	Aqua			N		Molecular Probes	Live/Dead	Fixable Aqua Dead cell stain	Flow Cytometry		5300
ESR18464			MTG		M7514	M7514			N		Invitrogen	Mitotracker Green	Mitotracker Green	Flow Cytometry		5300
ESR18465	ANA818	PD1	PD1		563245	EH12.1			N		BD Horizon	PD1	Brillian Violet 605	Flow Cytometry		5300
ESR18466			SA		15-4317-82	SAV			N		eBioscience	Stepavidin	PE-Cy5	Flow Cytometry		5300
ESR18467	ANA34	CCR4	CCR4		359404	L291H4			N		Biolegend	CCR4	Alexa Fluor 647	Flow Cytometry		5300
ESR18468	ANA34	CCR4	CCR4		FAB1567F	205410			N		R&D Systems	CCR4	FITC	Flow Cytometry		5300
ESR18469	ANA36	CCR6	CCR6		562515	11A9			N		BD Horizon	CCR6	Brillian Violet 421	Flow Cytometry		5300
ESR18470	ANA36	CCR6	CCR6		560467	11A9			N		BD Pharmingen	CCR6	PerCPCy5.5	Flow Cytometry		5300
ESR18471	ANA807	CD24	CD24		MHCD2422	SN3			N		Invitrogen	CD24	PE-Alexa Fluor	Flow Cytometry		5300
ESR18472	ANA807	CD24	CD24		562405	ML5			N		BD Horizon	CD24	PE-CF594	Flow Cytometry		5300
ESR18473	ANA163	IL2RA	IL2RA		563719	M-A251			N		BD Horizon	CD25	Brillian Violet 650	Flow Cytometry		5300
ESR18474	ANA163	IL2RA	IL2RA		557753	M-A251			N		BD Pharmingen	CD25	APC/Cy7	Flow Cytometry		5300
ESR18475	ANA40	CD27	CD27		Q10065	CLB-27/1			N		Invitrogen	CD27	QDot605	Flow Cytometry		5300
ESR18476	ANA40	CD27	CD27		302830	O323			N		Biolegend	CD27	Brillian Violet 605	Flow Cytometry		5300
ESR18477	ANA40	CD27	CD27		563327	L128			N		BD Horizon	CD27	Brillian Violet 786	Flow Cytometry		5300
ESR18478	ANA809	CD3	CD3		558124	SP34-2			N		BD Pharmingen	CD3	Pacific Blue	Flow Cytometry		5300
ESR18479	ANA809	CD3	CD3		563916	SP34-2			N		BD Horizon	CD3	Brillian Violet 650	Flow Cytometry		5300
ESR18480	ANA809	CD3	CD3		555332	UCHT1			N		BD Pharmingen	CD3	FITC	Flow Cytometry		5300
ESR18481	ANA809	CD3	CD3		557917	SP34-2			N		BD Pharmingen	CD3	Alexa Fluor 700	Flow Cytometry		5300
ESR18482	ANA41	CD4	CD4		317418	OKT4			N		Biolegend	CD4	APC/Cy7	Flow Cytometry		5300
ESR18483	ANA41	CD4	CD4		558116	RPA-T4			N		BD Pharmingen	CD4	Pacific Blue	Flow Cytometry		5300
ESR18484	ANA816	CD45RA	CD45RA		45-0458-42	HI100			N		eBioscience	CD45RA	PerCPCy5.5	Flow Cytometry		5300
ESR18485	ANA816	CD45RA	CD45RA		304133	HI100			N		Biolegend	CD45RA	Brillian Violet 605	Flow Cytometry		5300
ESR18486	ANA85	CD95	CD95		558814	DX2			N		BD Pharmingen	CD95	APC	Flow Cytometry		5300
ESR18487	ANA85	CD95	CD95		563132	DX2			N		BD Horizon	CD95	Brillian Violet 711	Flow Cytometry		5300
ESR18488	ANA78	CXCR5	CXCR5		61-9185-42	MU5UBEE			N		eBioscience	CXCR5	PE-eFluor 610	Flow Cytometry		5300
ESR18489	ANA78	CXCR5	CXCR5		558113	RF8B2			N		BD Pharmingen	CXCR5	Alexa Fluor 647	Flow Cytometry		5300
ESR18490	ANA898	CD278	CD278		15-9949-82	C398.4A			N		eBioscience	ICOS	PE-Cy5	Flow Cytometry		5300
ESR18491	ANA898	CD278	CD278		13-9949-82	C398.4A			N		eBioscience	ICOS	Biotin	Flow Cytometry		5300
ESR18492	ANA813	IgD	IgD		555779	IA6-2			N		BD Pharmingen	IgD	PE	Flow Cytometry		5300
ESR18493	ANA813	IgD	IgD		562518	IA6-2			N		BD Horizon	IgD	Brillian Violet 421	Flow Cytometry		5300
