NAME	UNIPROT_ID	UNIPROT_GENE_NAME	DESCRIPTION	LINK
A6NI73	LIRA5_HUMAN	LILRA5	Leukocyte immunoglobulin-like receptor subfamily A member 5	https://www.uniprot.org/uniprot/A6NI73
F7VJQ1	APRIO_HUMAN	PRNP	Alternative prion protein	https://www.uniprot.org/uniprot/F7VJQ1
O00144	FZD9_HUMAN	FZD9	Frizzled-9	https://www.uniprot.org/uniprot/O00144
O00175	CCL24_HUMAN	CCL24	C-C motif chemokine 24	https://www.uniprot.org/uniprot/O00175
O00206	TLR4_HUMAN	TLR4	Toll-like receptor 4	https://www.uniprot.org/uniprot/O00206
O00220	TR10A_HUMAN	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	https://www.uniprot.org/uniprot/O00220
O00238	BMR1B_HUMAN	BMPR1B	Bone morphogenetic protein receptor type-1B	https://www.uniprot.org/uniprot/O00238
O00241	SIRB1_HUMAN	SIRPB1	Signal-regulatory protein beta-1	https://www.uniprot.org/uniprot/O00241
O00300	TR11B_HUMAN	TNFRSF11B	Tumor necrosis factor receptor superfamily member 11B	https://www.uniprot.org/uniprot/O00300
O00481	BT3A1_HUMAN	BTN3A1	Butyrophilin subfamily 3 member A1	https://www.uniprot.org/uniprot/O00481
O00574	CXCR6_HUMAN	CXCR6	C-X-C chemokine receptor type 6	https://www.uniprot.org/uniprot/O00574
O00585	CCL21_HUMAN	CCL21	C-C motif chemokine 21	https://www.uniprot.org/uniprot/O00585
O00626	CCL22_HUMAN	CCL22	C-C motif chemokine 22	https://www.uniprot.org/uniprot/O00626
O14625	CXL11_HUMAN	CXCL11	C-X-C motif chemokine 11	https://www.uniprot.org/uniprot/O14625
O14638	ENPP3_HUMAN	ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	https://www.uniprot.org/uniprot/O14638
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	https://www.uniprot.org/uniprot/O14672
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	https://www.uniprot.org/uniprot/O14763
O14786	NRP1_HUMAN	NRP1	Neuropilin-1	https://www.uniprot.org/uniprot/O14786
O14788	TNF11_HUMAN	TNFSF11	Tumor necrosis factor ligand superfamily member 11	https://www.uniprot.org/uniprot/O14788
O14798	TR10C_HUMAN	TNFRSF10C	Tumor necrosis factor receptor superfamily member 10C	https://www.uniprot.org/uniprot/O14798
O14836	TR13B_HUMAN	TNFRSF13B	Tumor necrosis factor receptor superfamily member 13B	https://www.uniprot.org/uniprot/O14836
O14931	NCTR3_HUMAN	NCR3	Natural cytotoxicity triggering receptor 3	https://www.uniprot.org/uniprot/O14931
O14960	LECT2_HUMAN	LECT2	Leukocyte cell-derived chemotaxin-2	https://www.uniprot.org/uniprot/O14960
O15389	SIGL5_HUMAN	SIGLEC5	Sialic acid-binding Ig-like lectin 5	https://www.uniprot.org/uniprot/O15389
O15444	CCL25_HUMAN	CCL25	C-C motif chemokine 25	https://www.uniprot.org/uniprot/O15444
O15455	TLR3_HUMAN	TLR3	Toll-like receptor 3	https://www.uniprot.org/uniprot/O15455
O15467	CCL16_HUMAN	CCL16	C-C motif chemokine 16	https://www.uniprot.org/uniprot/O15467
O43490	PROM1_HUMAN	PROM1	Prominin-1	https://www.uniprot.org/uniprot/O43490
O43508	TNF12_HUMAN	TNFSF12	Tumor necrosis factor ligand superfamily member 12	https://www.uniprot.org/uniprot/O43508
O43557	TNF14_HUMAN	TNFSF14	Tumor necrosis factor ligand superfamily member 14	https://www.uniprot.org/uniprot/O43557
O43699	SIGL6_HUMAN	SIGLEC6	Sialic acid-binding Ig-like lectin 6	https://www.uniprot.org/uniprot/O43699
O43915	VEGFD_HUMAN	VEGFD	Vascular endothelial growth factor D	https://www.uniprot.org/uniprot/O43915
O43927	CXL13_HUMAN	CXCL13	C-X-C motif chemokine 13	https://www.uniprot.org/uniprot/O43927
O60449	LY75_HUMAN	LY75	Lymphocyte antigen 75	https://www.uniprot.org/uniprot/O60449
O60486	PLXC1_HUMAN	PLXNC1	Plexin-C1	https://www.uniprot.org/uniprot/O60486
O60602	TLR5_HUMAN	TLR5	Toll-like receptor 5	https://www.uniprot.org/uniprot/O60602
O60603	TLR2_HUMAN	TLR2	Toll-like receptor 2	https://www.uniprot.org/uniprot/O60603
O75015	FCG3B_HUMAN	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B	https://www.uniprot.org/uniprot/O75015
O75019	LIRA1_HUMAN	LILRA1	Leukocyte immunoglobulin-like receptor subfamily A member 1	https://www.uniprot.org/uniprot/O75019
O75022	LIRB3_HUMAN	LILRB3	Leukocyte immunoglobulin-like receptor subfamily B member 3	https://www.uniprot.org/uniprot/O75022
O75023	LIRB5_HUMAN	LILRB5	Leukocyte immunoglobulin-like receptor subfamily B member 5	https://www.uniprot.org/uniprot/O75023
O75144	ICOSL_HUMAN	ICOSLG	ICOS ligand	https://www.uniprot.org/uniprot/O75144
O75326	SEM7A_HUMAN	SEMA7A	Semaphorin-7A	https://www.uniprot.org/uniprot/O75326
O75330	HMMR_HUMAN	HMMR	Hyaluronan mediated motility receptor	https://www.uniprot.org/uniprot/O75330
O75829	CNMD_HUMAN	CNMD	Leukocyte cell-derived chemotaxin 1	https://www.uniprot.org/uniprot/O75829
O75888	TNF13_HUMAN	TNFSF13	Tumor necrosis factor ligand superfamily member 13	https://www.uniprot.org/uniprot/O75888
O76036	NCTR1_HUMAN	NCR1	Natural cytotoxicity triggering receptor 1	https://www.uniprot.org/uniprot/O76036
O95150	TNF15_HUMAN	TNFSF15	Tumor necrosis factor ligand superfamily member 15	https://www.uniprot.org/uniprot/O95150
O95256	I18RA_HUMAN	IL18RAP	Interleukin-18 receptor accessory protein	https://www.uniprot.org/uniprot/O95256
